Episode 189, loss: 3627.023, total_reward: 134.0, solved: False
Episode 190, loss: 2879.430, total_reward: 117.0, solved: False
Episode 191, loss: 6676.420, total_reward: 200.0, solved: True
Episode 192, loss: 3034.854, total_reward: 122.0, solved: False
Episode 193, loss: 3073.418, total_reward: 123.0, solved: False
Episode 194, loss: 5729.596, total_reward: 183.0, solved: False
Episode 195, loss: 6635.789, total_reward: 200.0, solved: True
Episode 196, loss: 6595.608, total_reward: 200.0, solved: True
Episode 197, loss: 7086.661, total_reward: 200.0, solved: True
Episode 198, loss: 6182.030, total_reward: 192.0, solved: False
Episode 199, loss: 3368.553, total_reward: 128.0, solved: False
Episode 200, loss: 6469.002, total_reward: 200.0, solved: True
Episode 201, loss: 6617.002, total_reward: 200.0, solved: True
Episode 202, loss: 6772.402, total_reward: 200.0, solved: True
Episode 203, loss: 6829.943, total_reward: 200.0, solved: True
Episode 204, loss: 6783.941, total_reward: 200.0, solved: True
Episode 205, loss: 6579.446, total_reward: 200.0, solved: True
Episode 206, loss: 6759.151, total_reward: 200.0, solved: True
Episode 207, loss: 6732.006, total_reward: 200.0, solved: True
Episode 208, loss: 6661.731, total_reward: 200.0, solved: True
Episode 209, loss: 735.847, total_reward: 53.0, solved: False
Episode 210, loss: 5286.225, total_reward: 169.0, solved: False
Episode 211, loss: 6570.261, total_reward: 200.0, solved: True
Episode 212, loss: 6959.805, total_reward: 200.0, solved: True
Episode 213, loss: 6559.348, total_reward: 200.0, solved: True
Episode 214, loss: 6833.598, total_reward: 200.0, solved: True
Episode 215, loss: 6631.528, total_reward: 200.0, solved: True
Episode 216, loss: 6664.323, total_reward: 200.0, solved: True
Episode 217, loss: 6652.358, total_reward: 200.0, solved: True
Episode 218, loss: 6750.477, total_reward: 200.0, solved: True
Episode 219, loss: 6823.311, total_reward: 200.0, solved: True
Episode 220, loss: 6837.634, total_reward: 200.0, solved: True
Episode 221, loss: 2287.468, total_reward: 103.0, solved: False
Episode 222, loss: 6791.944, total_reward: 200.0, solved: True
Episode 223, loss: 855.011, total_reward: 57.0, solved: False
Episode 224, loss: 6630.622, total_reward: 200.0, solved: True
Episode 225, loss: 6698.767, total_reward: 200.0, solved: True
Episode 226, loss: 6757.244, total_reward: 200.0, solved: True
Episode 227, loss: 6673.384, total_reward: 200.0, solved: True
Episode 228, loss: 6678.404, total_reward: 199.0, solved: True
Episode 229, loss: 6687.065, total_reward: 200.0, solved: True
Episode 230, loss: 6719.994, total_reward: 200.0, solved: True
Episode 231, loss: 6708.864, total_reward: 200.0, solved: True
Episode 232, loss: 4491.546, total_reward: 154.0, solved: False
Episode 233, loss: 6948.911, total_reward: 200.0, solved: True
Episode 234, loss: 6761.182, total_reward: 200.0, solved: True
Episode 235, loss: 6765.839, total_reward: 200.0, solved: True
Episode 236, loss: 6806.464, total_reward: 200.0, solved: True
Episode 237, loss: 6646.390, total_reward: 200.0, solved: True
Episode 238, loss: 3312.179, total_reward: 129.0, solved: False
Episode 239, loss: 6609.585, total_reward: 200.0, solved: True
Episode 240, loss: 6802.150, total_reward: 200.0, solved: True
Episode 241, loss: 6226.915, total_reward: 193.0, solved: False
Episode 242, loss: 6820.073, total_reward: 200.0, solved: True
Episode 243, loss: 6521.093, total_reward: 200.0, solved: True
Episode 244, loss: 6741.053, total_reward: 200.0, solved: True
Episode 245, loss: 6550.822, total_reward: 200.0, solved: True
Episode 246, loss: 6684.314, total_reward: 200.0, solved: True
Episode 247, loss: 6776.470, total_reward: 200.0, solved: True
Episode 248, loss: 6714.538, total_reward: 200.0, solved: True
Episode 249, loss: 6588.321, total_reward: 200.0, solved: True
Episode 250, loss: 6837.799, total_reward: 200.0, solved: True
Episode 251, loss: 2069.069, total_reward: 94.0, solved: False
Episode 252, loss: 6723.460, total_reward: 200.0, solved: True
Episode 253, loss: 6848.914, total_reward: 200.0, solved: True
Episode 254, loss: 6674.873, total_reward: 200.0, solved: True
Episode 255, loss: 6513.671, total_reward: 200.0, solved: True
Episode 256, loss: 6711.438, total_reward: 200.0, solved: True
Episode 257, loss: 6611.827, total_reward: 200.0, solved: True
Episode 258, loss: 2391.995, total_reward: 105.0, solved: False
Episode 259, loss: 6823.667, total_reward: 200.0, solved: True
Episode 260, loss: 6464.941, total_reward: 200.0, solved: True
Episode 261, loss: 6432.175, total_reward: 200.0, solved: True
Episode 262, loss: 6777.745, total_reward: 200.0, solved: True
Episode 263, loss: 6621.258, total_reward: 200.0, solved: True
Episode 264, loss: 6959.940, total_reward: 200.0, solved: True
Episode 265, loss: 6455.138, total_reward: 200.0, solved: True
Episode 266, loss: 6678.782, total_reward: 200.0, solved: True
Episode 267, loss: 6591.444, total_reward: 200.0, solved: True
Episode 268, loss: 6655.930, total_reward: 200.0, solved: True
Episode 269, loss: 6445.126, total_reward: 200.0, solved: True
Episode 270, loss: 6704.818, total_reward: 200.0, solved: True
Episode 271, loss: 3372.816, total_reward: 126.0, solved: False
Episode 272, loss: 3951.521, total_reward: 146.0, solved: False
Episode 273, loss: 6645.891, total_reward: 200.0, solved: True
Episode 274, loss: 4175.904, total_reward: 149.0, solved: False
Episode 275, loss: 4733.887, total_reward: 164.0, solved: False
Episode 276, loss: 4186.560, total_reward: 152.0, solved: False
Episode 277, loss: 3202.418, total_reward: 129.0, solved: False
Episode 278, loss: 2560.180, total_reward: 109.0, solved: False
Episode 279, loss: 3216.448, total_reward: 127.0, solved: False
Episode 280, loss: 3063.823, total_reward: 125.0, solved: False
Episode 281, loss: 5181.141, total_reward: 178.0, solved: False
Episode 282, loss: 2029.473, total_reward: 97.0, solved: False
Episode 283, loss: 2893.655, total_reward: 124.0, solved: False
Episode 284, loss: 3882.379, total_reward: 141.0, solved: False
Episode 285, loss: 3156.722, total_reward: 127.0, solved: False
Episode 286, loss: 3856.491, total_reward: 146.0, solved: False
Episode 287, loss: 2123.960, total_reward: 105.0, solved: False
Episode 288, loss: 2267.976, total_reward: 107.0, solved: False
Episode 289, loss: 1839.754, total_reward: 94.0, solved: False
Episode 290, loss: 2445.087, total_reward: 112.0, solved: False
Episode 291, loss: 3696.473, total_reward: 140.0, solved: False
Episode 292, loss: 4708.209, total_reward: 170.0, solved: False
Episode 293, loss: 1511.605, total_reward: 84.0, solved: False
Episode 294, loss: 2849.746, total_reward: 124.0, solved: False
Episode 295, loss: 2518.190, total_reward: 114.0, solved: False
Episode 296, loss: 3606.123, total_reward: 144.0, solved: False
Episode 297, loss: 3211.599, total_reward: 136.0, solved: False
Episode 298, loss: 3766.247, total_reward: 146.0, solved: False
Episode 299, loss: 2101.841, total_reward: 100.0, solved: False
