Episode 194, loss: 5545.975, total_reward: 200.0, solved: True
Episode 195, loss: 5358.397, total_reward: 200.0, solved: True
Episode 196, loss: 5154.555, total_reward: 200.0, solved: True
Episode 197, loss: 5964.395, total_reward: 200.0, solved: True
Episode 198, loss: 5130.896, total_reward: 200.0, solved: True
Episode 199, loss: 5734.471, total_reward: 200.0, solved: True
Episode 200, loss: 5855.207, total_reward: 200.0, solved: True
Episode 201, loss: 5545.162, total_reward: 200.0, solved: True
Episode 202, loss: 5649.023, total_reward: 200.0, solved: True
Episode 203, loss: 6520.382, total_reward: 200.0, solved: True
Episode 204, loss: 5689.555, total_reward: 200.0, solved: True
Episode 205, loss: 5592.606, total_reward: 200.0, solved: True
Episode 206, loss: 5405.396, total_reward: 200.0, solved: True
Episode 207, loss: 5839.586, total_reward: 200.0, solved: True
Episode 208, loss: 5961.249, total_reward: 200.0, solved: True
Episode 209, loss: 5602.026, total_reward: 200.0, solved: True
Episode 210, loss: 5698.160, total_reward: 200.0, solved: True
Episode 211, loss: 6311.520, total_reward: 200.0, solved: True
Episode 212, loss: 6327.801, total_reward: 200.0, solved: True
Episode 213, loss: 5557.413, total_reward: 200.0, solved: True
Episode 214, loss: 5949.967, total_reward: 200.0, solved: True
Episode 215, loss: 5615.649, total_reward: 200.0, solved: True
Episode 216, loss: 5686.100, total_reward: 200.0, solved: True
Episode 217, loss: 5725.825, total_reward: 200.0, solved: True
Episode 218, loss: 5810.661, total_reward: 200.0, solved: True
Episode 219, loss: 5610.943, total_reward: 200.0, solved: True
Episode 220, loss: 5730.158, total_reward: 200.0, solved: True
Episode 221, loss: 5923.924, total_reward: 200.0, solved: True
Episode 222, loss: 5900.514, total_reward: 200.0, solved: True
Episode 223, loss: 6347.897, total_reward: 200.0, solved: True
Episode 224, loss: 5633.069, total_reward: 200.0, solved: True
Episode 225, loss: 5590.708, total_reward: 200.0, solved: True
Episode 226, loss: 5414.066, total_reward: 200.0, solved: True
Episode 227, loss: 6138.165, total_reward: 200.0, solved: True
Episode 228, loss: 5893.335, total_reward: 200.0, solved: True
Episode 229, loss: 6366.344, total_reward: 200.0, solved: True
Episode 230, loss: 5628.425, total_reward: 200.0, solved: True
Episode 231, loss: 6128.516, total_reward: 200.0, solved: True
Episode 232, loss: 5788.963, total_reward: 200.0, solved: True
Episode 233, loss: 6383.804, total_reward: 200.0, solved: True
Episode 234, loss: 6407.805, total_reward: 200.0, solved: True
Episode 235, loss: 6101.229, total_reward: 200.0, solved: True
Episode 236, loss: 6062.542, total_reward: 200.0, solved: True
Episode 237, loss: 6067.300, total_reward: 200.0, solved: True
Episode 238, loss: 6153.458, total_reward: 200.0, solved: True
Episode 239, loss: 70.038, total_reward: 16.0, solved: False
Episode 240, loss: 2857.763, total_reward: 124.0, solved: False
Episode 241, loss: 140.199, total_reward: 20.0, solved: False
Episode 242, loss: 57.233, total_reward: 13.0, solved: False
Episode 243, loss: 3249.009, total_reward: 132.0, solved: False
Episode 244, loss: 4110.088, total_reward: 149.0, solved: False
Episode 245, loss: 3621.913, total_reward: 141.0, solved: False
Episode 246, loss: 30.193, total_reward: 9.0, solved: False
Episode 247, loss: 41.591, total_reward: 14.0, solved: False
Episode 248, loss: 55.699, total_reward: 16.0, solved: False
Episode 249, loss: 86.427, total_reward: 18.0, solved: False
Episode 250, loss: 3035.924, total_reward: 128.0, solved: False
Episode 251, loss: 2599.333, total_reward: 115.0, solved: False
Episode 252, loss: 228.314, total_reward: 26.0, solved: False
Episode 253, loss: 82.897, total_reward: 20.0, solved: False
Episode 254, loss: 3409.080, total_reward: 139.0, solved: False
Episode 255, loss: 3346.751, total_reward: 132.0, solved: False
Episode 256, loss: 3209.308, total_reward: 135.0, solved: False
Episode 257, loss: 3440.937, total_reward: 136.0, solved: False
Episode 258, loss: 107.788, total_reward: 22.0, solved: False
Episode 259, loss: 61.426, total_reward: 15.0, solved: False
Episode 260, loss: 3896.877, total_reward: 156.0, solved: False
Episode 261, loss: 150.068, total_reward: 24.0, solved: False
Episode 262, loss: 3822.121, total_reward: 155.0, solved: False
Episode 263, loss: 4524.440, total_reward: 168.0, solved: False
Episode 264, loss: 4324.032, total_reward: 172.0, solved: False
Episode 265, loss: 4568.016, total_reward: 163.0, solved: False
Episode 266, loss: 4507.405, total_reward: 154.0, solved: False
Episode 267, loss: 4795.664, total_reward: 189.0, solved: False
Episode 268, loss: 5579.545, total_reward: 185.0, solved: False
Episode 269, loss: 5988.047, total_reward: 187.0, solved: False
Episode 270, loss: 4968.692, total_reward: 179.0, solved: False
Episode 271, loss: 5898.601, total_reward: 195.0, solved: False
Episode 272, loss: 5474.098, total_reward: 200.0, solved: True
Episode 273, loss: 5832.585, total_reward: 200.0, solved: True
Episode 274, loss: 5539.050, total_reward: 200.0, solved: True
Episode 275, loss: 5229.655, total_reward: 200.0, solved: True
Episode 276, loss: 5217.827, total_reward: 200.0, solved: True
Episode 277, loss: 6018.298, total_reward: 200.0, solved: True
Episode 278, loss: 5559.590, total_reward: 200.0, solved: True
Episode 279, loss: 5854.796, total_reward: 200.0, solved: True
Episode 280, loss: 5369.101, total_reward: 200.0, solved: True
Episode 281, loss: 5360.007, total_reward: 200.0, solved: True
Episode 282, loss: 5273.367, total_reward: 200.0, solved: True
Episode 283, loss: 5320.139, total_reward: 200.0, solved: True
Episode 284, loss: 5145.981, total_reward: 200.0, solved: True
Episode 285, loss: 5912.009, total_reward: 200.0, solved: True
Episode 286, loss: 5028.410, total_reward: 200.0, solved: True
Episode 287, loss: 5578.903, total_reward: 200.0, solved: True
Episode 288, loss: 5200.179, total_reward: 200.0, solved: True
Episode 289, loss: 5400.761, total_reward: 200.0, solved: True
Episode 290, loss: 5163.766, total_reward: 200.0, solved: True
Episode 291, loss: 5148.273, total_reward: 200.0, solved: True
Episode 292, loss: 5348.040, total_reward: 200.0, solved: True
Episode 293, loss: 5550.270, total_reward: 200.0, solved: True
Episode 294, loss: 4866.775, total_reward: 200.0, solved: True
Episode 295, loss: 5378.463, total_reward: 200.0, solved: True
Episode 296, loss: 5425.349, total_reward: 200.0, solved: True
Episode 297, loss: 5187.097, total_reward: 200.0, solved: True
Episode 298, loss: 6216.457, total_reward: 200.0, solved: True
Episode 299, loss: 4957.764, total_reward: 200.0, solved: True
