Episode 181, loss: 5608.008, total_reward: 200.0, solved: True
Episode 182, loss: 5999.594, total_reward: 200.0, solved: True
Episode 183, loss: 5601.309, total_reward: 200.0, solved: True
Episode 184, loss: 5562.343, total_reward: 200.0, solved: True
Episode 185, loss: 5148.607, total_reward: 200.0, solved: True
Episode 186, loss: 5539.100, total_reward: 200.0, solved: True
Episode 187, loss: 4916.964, total_reward: 200.0, solved: True
Episode 188, loss: 5502.589, total_reward: 200.0, solved: True
Episode 189, loss: 5087.939, total_reward: 200.0, solved: True
Episode 190, loss: 5070.837, total_reward: 200.0, solved: True
Episode 191, loss: 5286.976, total_reward: 200.0, solved: True
Episode 192, loss: 5149.231, total_reward: 200.0, solved: True
Episode 193, loss: 4930.930, total_reward: 200.0, solved: True
Episode 194, loss: 5395.021, total_reward: 200.0, solved: True
Episode 195, loss: 5272.435, total_reward: 200.0, solved: True
Episode 196, loss: 5721.146, total_reward: 200.0, solved: True
Episode 197, loss: 5479.885, total_reward: 200.0, solved: True
Episode 198, loss: 4592.818, total_reward: 200.0, solved: True
Episode 199, loss: 4834.749, total_reward: 200.0, solved: True
Episode 200, loss: 5109.668, total_reward: 200.0, solved: True
Episode 201, loss: 4741.546, total_reward: 200.0, solved: True
Episode 202, loss: 5443.897, total_reward: 200.0, solved: True
Episode 203, loss: 5252.131, total_reward: 200.0, solved: True
Episode 204, loss: 5903.139, total_reward: 200.0, solved: True
Episode 205, loss: 4908.443, total_reward: 200.0, solved: True
Episode 206, loss: 6128.247, total_reward: 200.0, solved: True
Episode 207, loss: 5112.391, total_reward: 200.0, solved: True
Episode 208, loss: 5061.532, total_reward: 200.0, solved: True
Episode 209, loss: 5156.343, total_reward: 200.0, solved: True
Episode 210, loss: 4734.608, total_reward: 200.0, solved: True
Episode 211, loss: 5385.841, total_reward: 200.0, solved: True
Episode 212, loss: 5221.405, total_reward: 200.0, solved: True
Episode 213, loss: 4981.116, total_reward: 200.0, solved: True
Episode 214, loss: 5398.073, total_reward: 200.0, solved: True
Episode 215, loss: 5753.930, total_reward: 200.0, solved: True
Episode 216, loss: 5069.014, total_reward: 200.0, solved: True
Episode 217, loss: 4996.663, total_reward: 200.0, solved: True
Episode 218, loss: 5761.710, total_reward: 200.0, solved: True
Episode 219, loss: 4735.235, total_reward: 200.0, solved: True
Episode 220, loss: 5551.008, total_reward: 200.0, solved: True
Episode 221, loss: 5223.383, total_reward: 200.0, solved: True
Episode 222, loss: 5083.244, total_reward: 200.0, solved: True
Episode 223, loss: 4805.569, total_reward: 200.0, solved: True
Episode 224, loss: 4821.308, total_reward: 200.0, solved: True
Episode 225, loss: 5458.016, total_reward: 200.0, solved: True
Episode 226, loss: 4755.543, total_reward: 200.0, solved: True
Episode 227, loss: 4613.811, total_reward: 200.0, solved: True
Episode 228, loss: 4859.860, total_reward: 200.0, solved: True
Episode 229, loss: 4942.701, total_reward: 200.0, solved: True
Episode 230, loss: 4571.167, total_reward: 200.0, solved: True
Episode 231, loss: 4076.193, total_reward: 188.0, solved: False
Episode 232, loss: 3819.112, total_reward: 152.0, solved: False
Episode 233, loss: 4998.994, total_reward: 176.0, solved: False
Episode 234, loss: 2860.852, total_reward: 154.0, solved: False
Episode 235, loss: 3206.871, total_reward: 154.0, solved: False
Episode 236, loss: 2527.126, total_reward: 145.0, solved: False
Episode 237, loss: 3230.460, total_reward: 162.0, solved: False
Episode 238, loss: 2411.077, total_reward: 124.0, solved: False
Episode 239, loss: 2942.386, total_reward: 141.0, solved: False
Episode 240, loss: 2255.836, total_reward: 122.0, solved: False
Episode 241, loss: 3737.818, total_reward: 159.0, solved: False
Episode 242, loss: 2794.093, total_reward: 134.0, solved: False
Episode 243, loss: 2094.646, total_reward: 112.0, solved: False
Episode 244, loss: 2226.871, total_reward: 122.0, solved: False
